Timestamp,head
2024-05-01,-2.491857142857143
2024-05-02,-2.506625
2024-05-03,-2.514708333333333
2024-05-04,-2.5239583333333333
2024-05-05,-2.4930416666666666
2024-05-06,-2.5212499999999998
2024-05-07,-2.5519583333333333
2024-05-08,-2.5587916666666666
2024-05-09,-2.5654583333333334
2024-05-10,-2.5784583333333333
2024-05-11,-2.5862916666666664
2024-05-12,-2.5927083333333334
2024-05-13,-2.597875
2024-05-14,-2.60175
2024-05-15,-2.60125
2024-05-16,-2.5845833333333332
2024-05-17,-2.599833333333333
2024-05-18,-2.612625
2024-05-19,-2.6292916666666666
2024-05-20,-2.6248333333333336
2024-05-21,-2.6180833333333333
2024-05-22,-2.2952083333333335
2024-05-23,-2.41775
2024-05-24,-2.4814583333333333
2024-05-25,-2.434083333333333
2024-05-26,-2.455
2024-05-27,-2.475125
2024-05-28,-2.494625
2024-05-29,-2.4152916666666666
2024-05-30,-2.4490416666666666
2024-05-31,-2.481625
2024-06-01,-2.452375
2024-06-02,-2.4593333333333334
2024-06-03,-2.4880833333333334
2024-06-04,-2.5052083333333335
2024-06-05,-2.5161666666666664
2024-06-06,-2.5392916666666667
2024-06-07,-2.425772727272727
2024-06-08,
2024-06-09,
2024-06-10,
2024-06-11,
2024-06-12,
2024-06-13,
2024-06-14,
2024-06-15,
2024-06-16,
2024-06-17,
2024-06-18,
2024-06-19,
2024-06-20,
2024-06-21,
2024-06-22,
2024-06-23,
2024-06-24,
2024-06-25,
2024-06-26,-2.7070833333333333
2024-06-27,-2.703375
2024-06-28,-2.7181739130434783
2024-06-29,-2.722095238095238
2024-06-30,-2.7214782608695653
2024-07-01,-2.725695652173913
2024-07-02,-2.71835
2024-07-03,-2.6938235294117647
2024-07-04,
2024-07-05,
2024-07-06,
2024-07-07,
2024-07-08,
2024-07-09,
2024-07-10,-2.562857142857143
2024-07-11,-2.6047727272727275
2024-07-12,-2.6068823529411764
2024-07-13,-2.449391304347826
2024-07-14,-2.5123
2024-07-15,-2.557
2024-07-16,
2024-07-17,
2024-07-18,
2024-07-19,
2024-07-20,
2024-07-21,
2024-07-22,
2024-07-23,
2024-07-24,
2024-07-25,
2024-07-26,
2024-07-27,
2024-07-28,
2024-07-29,
2024-07-30,
2024-07-31,
2024-08-01,-11.111
