Timestamp,head
2025-05-07,-3.5247142857142855
2025-05-08,-3.5272916666666667
2025-05-09,-3.5338333333333334
2025-05-10,-3.5396666666666667
2025-05-11,-3.543958333333333
2025-05-12,-3.550875
2025-05-13,-3.557541666666667
2025-05-14,-3.5693333333333332
2025-05-15,-3.57825
2025-05-16,-3.5871250000000003
2025-05-17,-3.5873749999999998
2025-05-18,-3.591083333333333
2025-05-19,-3.595875
2025-05-20,-3.6060833333333338
2025-05-21,-3.613875
2025-05-22,-3.6199166666666667
2025-05-23,-3.624541666666667
2025-05-24,-3.6177499999999996
2025-05-25,-3.6031666666666666
2025-05-26,-3.612083333333333
2025-05-27,-3.6177499999999996
2025-05-28,-3.594375
2025-05-29,-3.5879583333333334
2025-05-30,-3.5842500000000004
2025-05-31,-3.5899583333333336
2025-06-01,-3.5987500000000003
2025-06-02,-3.607291666666667
2025-06-03,-3.6148333333333333
2025-06-04,-3.6168333333333336
2025-06-05,-3.6197083333333335
2025-06-06,-3.614625
2025-06-07,-3.593375
2025-06-08,-3.49175
2025-06-09,-3.4493333333333336
2025-06-10,-3.4572083333333334
2025-06-11,-3.4646666666666666
2025-06-12,-3.4765416666666664
2025-06-13,-3.501041666666667
2025-06-14,-3.520958333333333
2025-06-15,-3.5397916666666664
2025-06-16,-3.5551250000000003
2025-06-17,-3.57375
2025-06-18,-3.5874166666666665
2025-06-19,-3.6004166666666664
2025-06-20,-3.6069999999999998
2025-06-21,-3.6184999999999996
2025-06-22,-3.6294583333333335
2025-06-23,-3.6359166666666667
2025-06-24,-3.63975
2025-06-25,-3.640875
2025-06-26,-3.6424583333333334
2025-06-27,-3.6434166666666665
2025-06-28,-3.654333333333333
2025-06-29,-3.6605416666666666
2025-06-30,-3.671208333333333
2025-07-01,-3.69275
2025-07-02,-3.7121666666666666
2025-07-03,-3.7229166666666664
2025-07-04,-3.7395416666666663
2025-07-05,-3.761
