Timestamp,head
2025-01-09,-2.5093333333333336
2025-01-10,-2.47675
2025-01-11,-2.48325
2025-01-12,-2.4952083333333333
2025-01-13,-2.5081666666666664
2025-01-14,-2.519458333333333
2025-01-15,-2.529916666666667
2025-01-16,-2.5303333333333335
2025-01-17,-2.5347916666666666
2025-01-18,-2.536541666666667
2025-01-19,-2.53775
2025-01-20,-2.536625
2025-01-21,-2.543416666666667
2025-01-22,-2.540875
2025-01-23,-2.5215
2025-01-24,-2.4701666666666666
2025-01-25,-2.4815833333333335
2025-01-26,-2.509208333333333
2025-01-27,-2.3952916666666666
2025-01-28,-2.450083333333333
2025-01-29,-2.408
2025-01-30,-2.4739583333333335
2025-01-31,-2.5072083333333333
2025-02-01,-2.524375
2025-02-02,-2.5314166666666664
2025-02-03,-2.534125
2025-02-04,-2.5319583333333333
2025-02-05,-2.540458333333333
2025-02-06,-2.5463333333333336
2025-02-07,-2.5386666666666664
2025-02-08,-2.54475
2025-02-09,-2.5481666666666665
2025-02-10,-2.5431666666666666
2025-02-11,-2.50175
2025-02-12,-2.399958333333333
2025-02-13,-2.4738333333333333
2025-02-14,-2.5135
2025-02-15,-2.524833333333333
2025-02-16,-2.5324285714285715
2025-02-17,-2.5410416666666666
2025-02-18,-2.551083333333333
2025-02-19,-2.550772727272727
2025-02-20,-2.5491363636363635
2025-02-21,-2.54725
2025-02-22,-2.533125
2025-02-23,-2.5240416666666667
2025-02-24,-2.4567916666666667
2025-02-25,-2.4324583333333334
2025-02-26,-2.4859166666666668
2025-02-27,-2.4564583333333334
2025-02-28,-2.465291666666667
2025-03-01,-2.4928333333333335
2025-03-02,-2.5080416666666667
2025-03-03,-2.52
2025-03-04,-2.528166666666667
2025-03-05,-2.5298333333333334
2025-03-06,-2.5282916666666666
2025-03-07,-2.525875
2025-03-08,-2.5240833333333335
2025-03-09,-2.5255
2025-03-10,-2.5264583333333333
2025-03-11,-2.5276666666666667
2025-03-12,-2.522041666666667
2025-03-13,-2.517583333333333
2025-03-14,-2.5203333333333333
2025-03-15,-2.5218181818181815
2025-03-16,-2.534375
2025-03-17,-2.5334583333333334
2025-03-18,-2.5115
2025-03-19,-2.5115
2025-03-20,-2.518125
2025-03-21,-2.5119166666666666
2025-03-22,-2.5172916666666665
2025-03-23,-2.517875
2025-03-24,-2.5204583333333335
2025-03-25,-2.5208749999999998
2025-03-26,-2.524958333333333
2025-03-27,-2.523833333333333
2025-03-28,-2.513875
2025-03-29,-2.4935
2025-03-30,-2.5024782608695655
2025-03-31,-2.516083333333333
2025-04-01,-2.5530833333333334
2025-04-02,-2.5418333333333334
2025-04-03,-2.543041666666667
2025-04-04,-2.5436666666666667
2025-04-05,-2.5405416666666665
2025-04-06,-2.5394166666666664
2025-04-07,-2.54675
2025-04-08,-2.5550416666666664
2025-04-09,-2.556125
2025-04-10,-2.5512916666666667
2025-04-11,-2.5448749999999998
2025-04-12,-2.539875
2025-04-13,-2.536
2025-04-14,-2.5495
2025-04-15,-2.5464166666666666
2025-04-16,-2.5332500000000002
2025-04-17,-2.5330416666666666
2025-04-18,-2.5439583333333333
2025-04-19,-2.553875
2025-04-20,-2.5559583333333333
2025-04-21,-2.5461666666666667
2025-04-22,-2.5364999999999998
2025-04-23,-2.5421666666666667
2025-04-24,-2.542375
2025-04-25,-2.538625
2025-04-26,-2.5429583333333334
2025-04-27,-2.5461666666666667
2025-04-28,-2.5536666666666665
2025-04-29,-2.560625
2025-04-30,-2.561
2025-05-01,-2.557208333333333
2025-05-02,-2.5479166666666666
2025-05-03,-2.5500416666666665
2025-05-04,-2.55575
2025-05-05,-2.560625
2025-05-06,-2.557958333333333
2025-05-07,-2.562875
2025-05-08,-2.565
2025-05-09,-2.572083333333333
2025-05-10,-2.5796666666666668
2025-05-11,-2.587375
2025-05-12,-2.5902083333333334
2025-05-13,-2.591833333333333
2025-05-14,-2.5861666666666667
2025-05-15,-2.584416666666667
2025-05-16,-2.572
2025-05-17,-2.564125
2025-05-18,-2.556375
2025-05-19,-2.5540416666666665
2025-05-20,-2.5544583333333333
2025-05-21,-2.5551666666666666
2025-05-22,-2.569625
2025-05-23,-2.5554166666666664
2025-05-24,-2.5361249999999997
2025-05-25,-2.5229583333333334
2025-05-26,-2.5330416666666666
2025-05-27,-2.5184166666666665
2025-05-28,-2.5059166666666663
2025-05-29,-2.5056249999999998
2025-05-30,-2.510666666666667
2025-05-31,-2.521
2025-06-01,-2.523375
2025-06-02,-2.5325416666666665
2025-06-03,-2.544916666666667
2025-06-04,-2.547458333333333
2025-06-05,-2.5461666666666667
2025-06-06,-2.508
2025-06-07,-2.5306666666666664
2025-06-08,-2.398
2025-06-09,-2.4407083333333333
2025-06-10,-2.4847916666666667
2025-06-11,-2.52675
2025-06-12,-2.5554166666666664
2025-06-13,-2.5685416666666665
2025-06-14,-2.5614583333333334
2025-06-15,-2.5730833333333334
2025-06-16,-2.5795416666666666
2025-06-17,-2.5839583333333334
2025-06-18,-2.58325
2025-06-19,-2.5837083333333335
2025-06-20,-2.584
2025-06-21,-2.5705999999999998
2025-06-22,-2.5564782608695653
2025-06-23,-2.5315
2025-06-24,-2.524625
2025-06-25,-2.5312083333333333
2025-06-26,-2.52025
2025-06-27,-2.5192083333333333
2025-06-28,-2.5261666666666667
2025-06-29,-2.5349166666666667
2025-06-30,-2.5465
2025-07-01,-2.5617916666666667
2025-07-02,-2.5494166666666667
2025-07-03,-2.5522916666666666
2025-07-04,-2.55925
2025-07-05,-2.5513749999999997
2025-07-06,-2.5457916666666667
