Timestamp,Waterniveau
2025-05-13 22:00:00,-3.18
2025-05-13 23:00:00,-3.184
2025-05-14 00:00:00,-3.184
2025-05-14 01:00:00,-3.179
2025-05-14 02:00:00,-3.183
2025-05-14 03:00:00,-3.188
2025-05-14 04:00:00,-3.184
2025-05-14 05:00:00,-3.184
2025-05-14 06:00:00,-3.185
2025-05-14 07:00:00,-3.186
2025-05-14 08:00:00,-3.18
2025-05-14 09:00:00,-3.19
2025-05-14 10:00:00,-3.185
2025-05-14 11:00:00,-3.189
2025-05-14 12:00:00,-3.18
2025-05-14 13:00:00,-3.182
2025-05-14 14:00:00,-3.181
2025-05-14 15:00:00,-3.182
2025-05-14 16:00:00,-3.186
2025-05-14 17:00:00,-3.188
2025-05-14 18:00:00,-3.186
2025-05-14 19:00:00,-3.194
2025-05-14 20:00:00,-3.196
2025-05-14 21:00:00,-3.192
2025-05-14 22:00:00,-3.193
2025-05-14 23:00:00,-3.187
2025-05-15 00:00:00,-3.195
2025-05-15 01:00:00,-3.192
2025-05-15 02:00:00,-3.196
2025-05-15 03:00:00,-3.189
2025-05-15 04:00:00,-3.198
2025-05-15 05:00:00,-3.196
2025-05-15 06:00:00,-3.187
2025-05-15 07:00:00,-3.189
2025-05-15 08:00:00,-3.192
2025-05-15 09:00:00,-3.196
2025-05-15 10:00:00,-3.194
2025-05-15 11:00:00,-3.193
2025-05-15 12:00:00,-3.188
2025-05-15 13:00:00,-3.187
2025-05-15 14:00:00,-3.18
2025-05-15 15:00:00,-3.181
2025-05-15 16:00:00,-3.19
2025-05-15 17:00:00,-3.186
2025-05-15 18:00:00,-3.185
2025-05-15 19:00:00,-3.189
2025-05-15 20:00:00,-3.189
2025-05-15 21:00:00,-3.187
2025-05-15 22:00:00,-3.192
2025-05-15 23:00:00,-3.189
2025-05-16 00:00:00,-3.197
2025-05-16 01:00:00,-3.193
2025-05-16 02:00:00,-3.202
2025-05-16 03:00:00,-3.199
2025-05-16 04:00:00,-3.192
2025-05-16 05:00:00,-3.194
2025-05-16 06:00:00,-3.195
2025-05-16 07:00:00,-3.2
2025-05-16 08:00:00,-3.197
2025-05-16 09:00:00,-3.202
2025-05-16 10:00:00,-3.193
2025-05-16 11:00:00,-3.192
2025-05-16 12:00:00,-3.195
2025-05-16 13:00:00,-3.197
